"70BCSV 	",Prueba subir archivo 
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 ,
25,
CTRWL,1550
SPAN,200
START WL,1450
STOP WL,1650
WLFREQ,0
REFL,-59.9
LSCL,4
RESLN,0.2
AVG,1
SMPLAUTO,1
SMPL,5001
SMPLINTVL,0.04
HIGH2,
MEAS,
LSUNT,0
NMSKH,OFF
RESCOR,0
SMOOTH,0
FIBERTYPE,0
MEASWL,1
SWPSPD,0
RESPARM,9674
FREQPARM,9674
,
,
1461.8,-67.913
1461.84,-67.897
1461.88,-67.896
1461.92,-67.895
1461.96,-67.898
1462,-67.887
1462.04,-67.881
1462.08,-67.871
1462.12,-67.888
1462.16,-67.881
1462.2,-67.886
1462.24,-67.879
1462.28,-67.863
1462.32,-67.87
1462.36,-67.864
1462.4,-67.876
1462.44,-67.866
1462.48,-67.856
1462.52,-67.864
1462.56,-67.864
1462.6,-67.853
1462.64,-67.857
1462.68,-67.857
1462.72,-67.868
1462.76,-67.844
1462.8,-67.851
1462.84,-67.856
1462.88,-67.867
1462.92,-67.874
1462.96,-67.871
1463,-67.869
1463.04,-67.871
1463.08,-67.882
1463.12,-67.937
1463.16,-68.002
1463.2,-68.015
1463.24,-68.001
1463.28,-67.958
1463.32,-67.904
1463.36,-67.878
1463.4,-67.856
1463.44,-67.862
1463.48,-67.852
1463.52,-67.845
1463.56,-67.846
1463.6,-67.84
1463.64,-67.842
1463.68,-67.848
1463.72,-67.845
1463.76,-67.848
1463.8,-67.855
1463.84,-67.85
1463.88,-67.863
1463.92,-67.856
1463.96,-67.859
1464,-67.866
1464.04,-67.867
1464.08,-67.852
1464.12,-67.858
1464.16,-67.849
1464.2,-67.86
1464.24,-67.86
1464.28,-67.852
1464.32,-67.862
1464.36,-67.87
1464.4,-67.862
1464.44,-67.866
1464.48,-67.868
1464.52,-67.859
1464.56,-67.865
1464.6,-67.868
1464.64,-67.865
1464.68,-67.871
1464.72,-67.871
1464.76,-67.868
1464.8,-67.878
1464.84,-67.882
1464.88,-67.874
1464.92,-67.873
1464.96,-67.877
1465,-67.89
1465.04,-67.892
1465.08,-67.938
1465.12,-67.986
1465.16,-67.999
1465.2,-68.018
1465.24,-68.02
1465.28,-67.992
1465.32,-67.964
1465.36,-67.948
1465.4,-67.92
1465.44,-67.908
1465.48,-67.907
1465.52,-67.889
1465.56,-67.916
1465.6,-67.904
1465.64,-67.899
1465.68,-67.901
1465.72,-67.917
1465.76,-67.924
1465.8,-67.926
1465.84,-67.931
1465.88,-67.938
1465.92,-67.944
1465.96,-67.986
1466,-67.978
1466.04,-67.98
1466.08,-67.97
1466.12,-67.95
1466.16,-67.95
1466.2,-67.957
1466.24,-67.966
1466.28,-67.981
1466.32,-68.02
1466.36,-68.018
1466.4,-68.043
1466.44,-68.044
1466.48,-68.034
1466.52,-68.026
1466.56,-68.031
1466.6,-68.05
1466.64,-68.059
1466.68,-68.081
1466.72,-68.07
1466.76,-68.065
1466.8,-68.063
1466.84,-68.074
1466.88,-68.077
1466.92,-68.114
1466.96,-68.155
1467,-68.193
1467.04,-68.213
1467.08,-68.207
1467.12,-68.157
1467.16,-68.136
1467.2,-68.144
1467.24,-68.136
1467.28,-68.145
1467.32,-68.162
1467.36,-68.171
1467.4,-68.177
1467.44,-68.193
1467.48,-68.205
1467.52,-68.222
1467.56,-68.202
1467.6,-68.23
1467.64,-68.232
1467.68,-68.263
1467.72,-68.306
1467.76,-68.33
1467.8,-68.348
1467.84,-68.349
1467.88,-68.345
1467.92,-68.322
1467.96,-68.311
1468,-68.32
1468.04,-68.325
1468.08,-68.336
1468.12,-68.352
1468.16,-68.374
1468.2,-68.383
1468.24,-68.389
1468.28,-68.383
1468.32,-68.414
1468.36,-68.408
1468.4,-68.426
1468.44,-68.431
1468.48,-68.442
1468.52,-68.464
1468.56,-68.465
1468.6,-68.478
1468.64,-68.482
1468.68,-68.493
1468.72,-68.501
1468.76,-68.517
1468.8,-68.535
1468.84,-68.537
1468.88,-68.55
1468.92,-68.562
1468.96,-68.588
1469,-68.58
1469.04,-68.606
1469.08,-68.62
1469.12,-68.633
1469.16,-68.645
1469.2,-68.663
1469.24,-68.683
1469.28,-68.674
1469.32,-68.702
1469.36,-68.713
1469.4,-68.724
1469.44,-68.756
1469.48,-68.797
1469.52,-68.885
1469.56,-69.007
1469.6,-69.046
1469.64,-69.058
1469.68,-68.992
1469.72,-68.907
1469.76,-68.871
1469.8,-68.865
1469.84,-68.882
1469.88,-68.865
1469.92,-68.898
1469.96,-68.911
1470,-68.928
1470.04,-68.934
1470.08,-68.957
1470.12,-68.964
1470.16,-68.98
1470.2,-68.997
1470.24,-69.023
1470.28,-69.048
1470.32,-69.05
1470.36,-69.057
1470.4,-69.089
1470.44,-69.109
1470.48,-69.1
1470.52,-69.124
1470.56,-69.17
1470.6,-69.249
1470.64,-69.346
1470.68,-69.394
1470.72,-69.41
1470.76,-69.396
1470.8,-69.293
1470.84,-69.263
1470.88,-69.278
1470.92,-69.28
1470.96,-69.333
1471,-69.409
1471.04,-69.451
1471.08,-69.451
1471.12,-69.438
1471.16,-69.402
1471.2,-69.39
1471.24,-69.435
1471.28,-69.43
1471.32,-69.438
1471.36,-69.453
1471.4,-69.469
1471.44,-69.462
1471.48,-69.492
1471.52,-69.515
1471.56,-69.523
1471.6,-69.559
1471.64,-69.555
1471.68,-69.605
1471.72,-69.608
1471.76,-69.652
1471.8,-69.654
1471.84,-69.673
1471.88,-69.671
1471.92,-69.692
1471.96,-69.727
1472,-69.739
1472.04,-69.751
1472.08,-69.779
1472.12,-69.814
1472.16,-69.811
1472.2,-69.874
1472.24,-69.982
1472.28,-70.07
1472.32,-70.106
1472.36,-70.133
1472.4,-70.072
1472.44,-69.988
1472.48,-69.998
1472.52,-70.04
1472.56,-70.051
1472.6,-70.08
1472.64,-70.104
1472.68,-70.096
1472.72,-70.102
1472.76,-70.127
1472.8,-70.141
1472.84,-70.133
1472.88,-70.18
1472.92,-70.201
1472.96,-70.206
1473,-70.233
1473.04,-70.248
1473.08,-70.27
1473.12,-70.307
1473.16,-70.364
1473.2,-70.368
1473.24,-70.399
1473.28,-70.418
1473.32,-70.409
1473.36,-70.439
1473.4,-70.467
1473.44,-70.48
1473.48,-70.5
1473.52,-70.53
1473.56,-70.559
1473.6,-70.579
1473.64,-70.637
1473.68,-70.697
1473.72,-70.727
1473.76,-70.722
1473.8,-70.714
1473.84,-70.739
1473.88,-70.749
1473.92,-70.758
1473.96,-70.805
1474,-70.798
1474.04,-70.839
1474.08,-70.858
1474.12,-70.884
